"TIME","GEO","SEX","AGE","Value","Flag and Footnotes"
"2006","Hungary","Total","From 15 to 64 years","15.0",""
"2007","Hungary","Total","From 15 to 64 years","15.4",""
"2008","Hungary","Total","From 15 to 64 years","16.4",""
"2009","Hungary","Total","From 15 to 64 years","16.9",""
"2010","Hungary","Total","From 15 to 64 years","17.2",""
"2001","Malta","Total","From 15 to 64 years","8.5",""
"2002","Malta","Total","From 15 to 64 years","8.2",""
"2003","Malta","Total","From 15 to 64 years","8.5","b"
"2004","Malta","Total","From 15 to 64 years","10.2",""
"2005","Malta","Total","From 15 to 64 years","10.2",""
"2006","Malta","Total","From 15 to 64 years","11.1",""
"2007","Malta","Total","From 15 to 64 years","11.7",""
"2008","Malta","Total","From 15 to 64 years","11.8","p"
"2009","Malta","Total","From 15 to 64 years","12.0","p"
"2010","Malta","Total","From 15 to 64 years","12.4","p"
"2001","Netherlands","Total","From 15 to 64 years","20.8",""
"2002","Netherlands","Total","From 15 to 64 years","21.6",""
"2003","Netherlands","Total","From 15 to 64 years","23.8",""
"2004","Netherlands","Total","From 15 to 64 years","25.7",""
"2005","Netherlands","Total","From 15 to 64 years","26.2",""
"2006","Netherlands","Total","From 15 to 64 years","26.2",""
"2007","Netherlands","Total","From 15 to 64 years","26.7",""
"2008","Netherlands","Total","From 15 to 64 years","27.8",""
"2009","Netherlands","Total","From 15 to 64 years","28.4",""
"2010","Netherlands","Total","From 15 to 64 years","27.7","b"
"2001","Austria","Total","From 15 to 64 years",":","u"
"2002","Austria","Total","From 15 to 64 years",":","u"
"2003","Austria","Total","From 15 to 64 years",":","u"
"2004","Austria","Total","From 15 to 64 years","15.7","i"
"2005","Austria","Total","From 15 to 64 years","15.1",""
"2006","Austria","Total","From 15 to 64 years","14.8",""
"2007","Austria","Total","From 15 to 64 years","14.8",""
"2008","Austria","Total","From 15 to 64 years","15.2",""
"2009","Austria","Total","From 15 to 64 years","16.1",""
"2010","Austria","Total","From 15 to 64 years","16.4",""
"2001","Poland","Total","From 15 to 64 years","9.6",""
"2002","Poland","Total","From 15 to 64 years","10.2",""
"2003","Poland","Total","From 15 to 64 years","11.6",""
"2004","Poland","Total","From 15 to 64 years","12.8",""
"2005","Poland","Total","From 15 to 64 years","13.9",""
"2006","Poland","Total","From 15 to 64 years","14.9",""
"2007","Poland","Total","From 15 to 64 years","15.7",""
"2008","Poland","Total","From 15 to 64 years","16.5",""
"2009","Poland","Total","From 15 to 64 years","18.1",""
"2010","Poland","Total","From 15 to 64 years","19.8",""
"2001","Portugal","Total","From 15 to 64 years","7.9",""
"2002","Portugal","Total","From 15 to 64 years","8.2",""
"2003","Portugal","Total","From 15 to 64 years","9.5",""
"2004","Portugal","Total","From 15 to 64 years","10.9",""
"2005","Portugal","Total","From 15 to 64 years","11.1",""
"2006","Portugal","Total","From 15 to 64 years","11.7",""
"2007","Portugal","Total","From 15 to 64 years","12.0",""
"2008","Portugal","Total","From 15 to 64 years","12.7",""
"2009","Portugal","Total","From 15 to 64 years","13.1",""
"2010","Portugal","Total","From 15 to 64 years","13.8",""
"2001","Romania","Total","From 15 to 64 years","7.9",""
"2002","Romania","Total","From 15 to 64 years","8.0",""
"2003","Romania","Total","From 15 to 64 years","7.9",""
"2004","Romania","Total","From 15 to 64 years","8.7",""
"2005","Romania","Total","From 15 to 64 years","9.1",""
"2006","Romania","Total","From 15 to 64 years","9.6",""
"2007","Romania","Total","From 15 to 64 years","9.9",""
"2008","Romania","Total","From 15 to 64 years","10.7",""
"2009","Romania","Total","From 15 to 64 years","11.2",""
"2010","Romania","Total","From 15 to 64 years","11.9",""
"2001","Slovenia","Total","From 15 to 64 years","11.6",""
"2002","Slovenia","Total","From 15 to 64 years","12.3",""
"2003","Slovenia","Total","From 15 to 64 years","14.4",""
